Subject,Start date,Start time,End date,End time
R,03/11/2020,07:00:00,03/11/2020,19:00:00
R,03/12/2020,07:00:00,03/12/2020,19:00:00
R,03/13/2020,07:00:00,03/13/2020,19:00:00
N,03/16/2020,19:00:00,03/17/2020,07:00:00
N,03/17/2020,19:00:00,03/18/2020,07:00:00
R,03/20/2020,07:00:00,03/20/2020,19:00:00
R,03/21/2020,07:00:00,03/21/2020,19:00:00
R,03/22/2020,07:00:00,03/22/2020,19:00:00
N,03/25/2020,19:00:00,03/26/2020,07:00:00
N,03/26/2020,19:00:00,03/27/2020,07:00:00
R,03/30/2020,07:00:00,03/30/2020,19:00:00
N,04/03/2020,19:00:00,04/04/2020,07:00:00
N,04/04/2020,19:00:00,04/05/2020,07:00:00
N,04/05/2020,19:00:00,04/06/2020,07:00:00
R,04/17/2020,07:00:00,04/17/2020,19:00:00
R,04/18/2020,07:00:00,04/18/2020,19:00:00
R,04/19/2020,07:00:00,04/19/2020,19:00:00
N,04/22/2020,19:00:00,04/23/2020,07:00:00
N,04/23/2020,19:00:00,04/24/2020,07:00:00
R,04/27/2020,07:00:00,04/27/2020,19:00:00
R,04/28/2020,07:00:00,04/28/2020,19:00:00
N,05/01/2020,19:00:00,05/02/2020,07:00:00
N,05/02/2020,19:00:00,05/03/2020,07:00:00
N,05/03/2020,19:00:00,05/04/2020,07:00:00
R,05/06/2020,07:00:00,05/06/2020,19:00:00
R,05/07/2020,07:00:00,05/07/2020,19:00:00
N,05/11/2020,19:00:00,05/12/2020,07:00:00
N,05/12/2020,19:00:00,05/13/2020,07:00:00
X,05/13/2020,07:00:00,05/13/2020,19:00:00
X,05/14/2020,07:00:00,05/14/2020,19:00:00
R,05/15/2020,07:00:00,05/15/2020,19:00:00
R,05/16/2020,07:00:00,05/16/2020,19:00:00
R,05/17/2020,07:00:00,05/17/2020,19:00:00
R,05/20/2020,07:00:00,05/20/2020,19:00:00
R,05/21/2020,07:00:00,05/21/2020,19:00:00
N,05/25/2020,19:00:00,05/26/2020,07:00:00
N,05/26/2020,19:00:00,05/27/2020,07:00:00
R,05/29/2020,07:00:00,05/29/2020,19:00:00
R,05/30/2020,07:00:00,05/30/2020,19:00:00
N,06/03/2020,19:00:00,06/04/2020,07:00:00
N,06/04/2020,19:00:00,06/05/2020,07:00:00
D,06/09/2020,07:00:00,06/09/2020,19:00:00
D,06/10/2020,07:00:00,06/10/2020,19:00:00
D,06/11/2020,07:00:00,06/11/2020,19:00:00
R,06/15/2020,07:00:00,06/15/2020,19:00:00
