Subject,Start Date,Start Time,End Date,End Time
R,01/11/2021,07:00 AM,01/11/2021,07:00 PM
R,01/12/2021,07:00 AM,01/12/2021,07:00 PM
N,01/15/2021,07:00 PM,01/16/2021,07:00 AM
N,01/16/2021,07:00 PM,01/17/2021,07:00 AM
N,01/17/2021,07:00 PM,01/18/2021,07:00 AM
R,01/20/2021,07:00 AM,01/20/2021,07:00 PM
R,01/21/2021,07:00 AM,01/21/2021,07:00 PM
N,01/25/2021,07:00 PM,01/26/2021,07:00 AM
N,01/26/2021,07:00 PM,01/27/2021,07:00 AM
R,01/29/2021,07:00 AM,01/29/2021,07:00 PM
R,01/30/2021,07:00 AM,01/30/2021,07:00 PM
R,01/31/2021,07:00 AM,01/31/2021,07:00 PM
N,02/03/2021,07:00 PM,02/04/2021,07:00 AM
N,02/04/2021,07:00 PM,02/05/2021,07:00 AM
Z,02/09/2021,07:00 AM,02/09/2021,07:00 PM
Z,02/10/2021,07:00 AM,02/10/2021,07:00 PM
Z,02/11/2021,07:00 AM,02/11/2021,07:00 PM
R,02/15/2021,07:00 AM,02/15/2021,07:00 PM
R,02/16/2021,07:00 AM,02/16/2021,07:00 PM
N,02/19/2021,07:00 PM,02/20/2021,07:00 AM
N,02/20/2021,07:00 PM,02/21/2021,07:00 AM
N,02/21/2021,07:00 PM,02/22/2021,07:00 AM
R,02/24/2021,07:00 AM,02/24/2021,07:00 PM
R,02/25/2021,07:00 AM,02/25/2021,07:00 PM
N,03/01/2021,07:00 PM,03/02/2021,07:00 AM
N,03/02/2021,07:00 PM,03/03/2021,07:00 AM
R,03/05/2021,07:00 AM,03/05/2021,07:00 PM
R,03/06/2021,07:00 AM,03/06/2021,07:00 PM
R,03/07/2021,07:00 AM,03/07/2021,07:00 PM
N,03/10/2021,07:00 PM,03/11/2021,07:00 AM
N,03/11/2021,07:00 PM,03/12/2021,07:00 AM
Z,03/16/2021,07:00 AM,03/16/2021,07:00 PM
Z,03/17/2021,07:00 AM,03/17/2021,07:00 PM
Z,03/18/2021,07:00 AM,03/18/2021,07:00 PM
R,03/22/2021,07:00 AM,03/22/2021,07:00 PM
R,03/23/2021,07:00 AM,03/23/2021,07:00 PM
N,03/26/2021,07:00 PM,03/27/2021,07:00 AM
